"id","sid","jname","ename","flist"
121,19,"ペルテス病","Perthes Disease","0.04,0.32,0.70,0.87,5.78,32.50,181.93,621.69,705.54,815.70"
122,19,"ヘバーデン結節","Heberden's Node","0.06,0.41,0.87,7.50,8.00,77.50,187.50,358.81,721.00,986.22"
123,19,"骨ページェット病","Paget's Disease","0.08,0.49,0.68,7.50,11.09,17.50,72.50,215.70,456.50,517.50"
124,20,"膀胱","Bladder Disease","0.04,0.55,0.78,0.97,5.09,7.25,50.00,97.50,229.32,532.41"
125,20,"尿路疾患","Urethral Tract Diseases","0.04,0.52,0.68,0.83,2.50,27.50,35.00,67.50,95.75,375.16"
126,20,"膀胱炎","Cystitis Interstitial","0.04,0.46,0.80,2.25,113.95,232.50,335.69,587.50,821.00,975.31"
127,20,"前立腺肥大","Prostate Enlarged","0.83,1.87,5.63,152.30,328.92,424.21,482.13,502.93,553.70,591.42"
128,20,"後腹膜繊維症","Retroperitoneal Fibrosis","0.07,0.46,0.65,112.95,295.87,347.50,427.50,695.28,750.00,875.95"
129,21,"肝臓","Liver Disease","0.11,0.55,0.97,12.33,17.50,30.00,160.10,383.50,421.00,645.25"
130,21,"胆嚢","Gallbladder Diseases","0.12,0.55,0.95,5.37,22.50,42.50,162.50,292.50,442.20,524.37"
131,21,"腎臓","Kidney Disease","0.07,0.18,0.57,7.50,13.61,122.50,211.00,305.85,452.20,591.43"
132,21,"心臓","Heart Disease","0.07,0.22,0.70,2.75,7.25,50.00,67.50,115.70,356.72,475.52"
133,21,"胃腸","Gastrointestinal Disease","0.02,0.52,0.70,0.90,2.50,5.25,15.47,142.50,292.50,821.06"
134,21,"脾臓","Splenic Disease","0.04,0.35,7.25,2.50,60.00,125.00,300.00,475.17,527.00,752.70"
135,21,"すい臓","Pancreatic Disease","0.08,0.40,0.83,5.47,105.00,215.47,417.50,631.00,801.91,931.22"
136,21,"消化液不足","Exocrine Pancreatic Insufficiency","0.10,0.50,0.68,5.95,35.71,87.50,137.50,357.50,596.50,742.06"
137,21,"咳","Cough","0.07,0.24,0.91,7.50,12.08,145.50,442.00,574.50,797.50,983.50"
138,21,"肺胞炎(肺胞線維化)","Alveolitis Fibrosing","0.65,0.41,0.62,4.97,7.50,15.31,87.50,352.93,385.90,504.37"
139,21,"アスベスト症（硬い肺に変化する）","Asbestosis","0.04,0.97,7.50,87.50,175.33,475.16,527.00,657.11,742.00,985.67"
140,21,"胸膜炎","Pleurisy","0.08,0.41,1.47,5.25,47.53,121.21,357.50,497.50,612.50,821.02"
